Name,Reference (s),Full Address,Address,City,State,Country,ZIP,Current Status,Converted into?,Creation,Closure,Reason for closure,Owner,Films screened,Website,Notes
American,FDYB1950,"1226 Fillmore Street, San Francisco, California, United States, 94115",1226 Fillmore Street,San Francisco,California,United States,94115,Demolished,Apartment,"December 31, 1909",mid-1950s,Neighborhood revelopment project,,,,"Reopened on September 4, 1915 as Lyric Theatre. Renamed American Theater at around 1925"
Liberty,FDYB1950,"649 Broadway, San Francisco, California, United States, 94133",649 Broadway,San Francisco,California,United States,94133,Demolished,Parking garage,1909,April 1953,,,,,"Opened as California Theater in 1909, renamed Liberty Theater 1910, renamed Allies Theater 1920, renamed Crescent Theater mid-1920s, reverted to Liberty Theater in 1926."
Majestic,FDYB1931 - 1932,"1281 Market Street, San Francisco, California, United States, 94102",1281 Market Street,San Francisco,California,United States,94102,Demolished,Hotel,"April 18, 1904","April 17, 1906",1906 earthquake and fire,,,,
New Ellis,FDYB1950,"1671 Ellis Street, San Francisco, California, United States, 94115",1671 Ellis Street,San Francisco,California,United States,94115,Demolished,"Became a church after 1952, torn down early 1970s","August 31, 1907",mid-1952,"Deterioration of the neighborhood, entire block was demolished in 1970s",,,,"Opened as Princess Theatre. Renamed Ellis Theatre on October14, 1935"
Peerless,FDYB1931 - 1932,"148 3rd Street, San Francisco, California, United States, 94103",148 3rd Street,San Francisco,California,United States,94103,Demolished,Yerba Buena Center,"June 22, 1912",October 1970,Redevelopment,,,,"First SF site to offer same sex encounters, leading to frequent police raids"
Silver ,FDYB1931 - 1932,"727 Market St, San Francisco, California, United States, 94103",727 Market St,San Francisco,California,United States,94103,Converted,CVS,1909,1972,Construction of Yerba Buena Center,,,,"Opened as Silver Palace Theatre, renamed Hub Theatre in 1951. Began displaying pornographic films in 1969"
Temple,FDYB1950,"1745 Fillmore Street, San Francisco, California, United States, 94115",1745 Fillmore Street,San Francisco,California,United States,94115,Demolished,Multi-use complex,1910,"May 30, 1966",,,,,"Opened as Class A Photoplay, renamed Temple Theatre in 1924."
Unique,FDYB1931 - 1932,"757 Market Street, San Francisco, California, United States, 94103",757 Market Street,San Francisco,California,United States,94103,Demolished,UN Plaza Fountain,"1901, 1906","January 1906 (first time),  April 17, 1906","First time - purchased by Orpheum, who raised the rent. Theater left subsequently. Second time - 1906 earthquake.",,,,
Lyric,FDYB1931 - 1932,"69 S. Second Street, San Jose, California, United States, 95113",69 S. Second Street,San Jose,California,United States,95113,Demolished,Parking lot,1913,1959,,,,,
Liberty (Cl.),FDYB1950,"33 S. Center Street, Stockton, California, United States, 95202",33 S. Center Street,Stockton,California,United States,95202,Demolished,Parking lot,Before 1949,"1949-1954, reopened for at least another year",,,,,
Lincoln,FDYB1931 - 1932,"28 S. Eldorado Street, Stockton, California, United States, 95202",28 S. Eldorado Street,Stockton,California,United States,95202,Demolished,Office building,During or before 1930,After 1952,,,,,Listed as African American theater from 1930-1932
Strand,FDYB1931 - 1932,"21 N. Sutter Street, Stockton, California, United States, 95202",21 N. Sutter Street,Stockton,California,United States,95202,,,"February 15, 1904",1921,,,,,"Opened as Unique Theater, renamed Empire Theatre on November 19, 1906, renamed Aliskey Theatre in 1907, renamed Forrest Theatre in 1908... renamed Strand Theatre in June 2, 1915. Finally renamed Hippodrome Theater on August 29, 1917."
Roxy,FDYB1950,"2551 Welton St., Denver, Colorado, United States, 80205",2551 Welton St.,Denver,Colorado,United States,80205,Still Standing,,1934,,,,,https://theclio.com/entry/28552,Modern address is at 2549 Welton St.
Strand,FDYB1931 -,"1414 Main Street, Bridgeport, Connecticut, United States, 06604",1414 Main Street,Bridgeport,Connecticut,United States,06604,Demolished,,1914,1963,,,,https://cinematreasures.org/theaters/2708,Opened as the Family Theater until 1915
Lyric,FDYB1931 - FDYB1950,"827 Whalley Avenue, New Haven, Connecticut, United States, 06515",827 Whalley Avenue,New Haven,Connecticut,United States,06515,Demolished,,1911,1956,,,,https://cinematreasures.org/theaters/2699,
Alamo,FDYB1950,"1203 7th Street NW, D.C., D.C., United States, 20001",1203 7th Street NW,D.C.,D.C.,United States,20001,Demolished,,1911,1965,,,,https://cinematreasures.org/theaters/26975,
Bluemouse,FDYB1930,"1207 26th Street NW, D.C., D.C., United States, 20007",1207 26th Street NW,D.C.,D.C.,United States,20007,Demolished,Mott Theater,1910,early 1950s,,,,https://cinematreasures.org/theaters/27007,"Converted, then demolished"
Booker-T,FDYB1950,"1433 U. Street NW, Washington, D.C., D.C., United States, 20009","1433 U. Street NW, Washington",D.C.,D.C.,United States,20009,Converted,"church, then currently an apartment building",1913,1976,,,"It was one of only 2 theatres in the DC area brave enough to show the infamous 1970’s film ""NiggerLover"" aka ""The Bad Bunch""..the other area theatre being the Loews Palace Theatre.",https://cinematreasures.org/theaters/30609,
Broadway,FDYB1931 - FDYB1950,"1515 7th St. NW, D.C., D.C., United States, 20001",1515 7th St. NW,D.C.,D.C.,United States,20001,Demolished,,1921,1980s,,,,https://cinematreasures.org/theaters/29734,
Carver,FDYB1950,"2405 Martin Luther King, Jr. Avenue SE, D.C., D.C., United States, 20020","2405 Martin Luther King, Jr. Avenue SE",D.C.,D.C.,United States,20020,Demolished,,1948,1957,,,,https://cinematreasures.org/theaters/8146,
Dream,FDYB1931 -,"/, D.C., D.C., United States, ",/,D.C.,D.C.,United States,,,,,,,,,,no record found online
Dunbar,FDYB1931 - FDYB1950,"1901-1903 7th Street NW, D.C., D.C., United States, 20001",1901-1903 7th Street NW,D.C.,D.C.,United States,20001,,,1920,1960,,,,https://cinematreasures.org/theaters/7638,
Favorite,FDYB1931 -,"62 H. St. NW, D.C., D.C., United States, 20001",62 H. St. NW,D.C.,D.C.,United States,20001,Demolished,,1913,,,,,,
Ford Dabney's,Washington Bees,"2001 9th Street, N.W., D.C., D.C., United States, 20001","2001 9th Street, N.W.",D.C.,D.C.,United States,20001,,,,,,,,https://en.wikipedia.org/wiki/Ford_Dabney,"Newspaper says 7th and You (U?) Streets NW, perhaps a former location; Wiki says northeast corner of 9th and U Streets, N.W. (2001 9th Street, N.W.)"
Gem,FDYB1950,"1131 8th Street NW, D.C., D.C., United States, 20004",1131 8th Street NW,D.C.,D.C.,United States,20004,,,1914,1930,,,,https://cinematreasures.org/theaters/45461,
Howard Theater,"Washington Bees, FDYB1950","620 T Street NW, D.C., D.C., United States, 20001",620 T Street NW,D.C.,D.C.,United States,20001,,,1910,,1970,,,https://cinematreasures.org/theaters/7630,
Jewel,FDYB1950,"2501-07 Benning Road NE, D.C., D.C., United States, 20002",2501-07 Benning Road NE,D.C.,D.C.,United States,20002,,,,,,,,,
Langston,FDYB1950,"2501-07 Benning Rd. NE, D.C., D.C., United States, 20002",2501-07 Benning Rd. NE,D.C.,D.C.,United States,20002,Converted,fast-food restaurant,1945,1970s,,,,,
Lincoln,FDYB1931 - FDYB1950,"1215 U St. NW, D.C., D.C., United States, 20009",1215 U St. NW,D.C.,D.C.,United States,20009,Still Standing,,1921,1983,,,,https://cinematreasures.org/theaters/7476,now used as a venue for live theater
Mid City,FDYB1931 - FDYB1950,"1223 Ninth St. NW, D.C., D.C., United States, 20001",1223 Ninth St. NW,D.C.,D.C.,United States,20001,Demolished,,1913,1952,,,,,
Mott,FDYB1950,"1207 26th St. NW, D.C., D.C., United States, 20037",1207 26th St. NW,D.C.,D.C.,United States,20037,Demolished,,1910,,,,,,
Plymouth,FDYB1950,"1365 H St. NE , D.C., D.C., United States, 20002",1365 H St. NE ,D.C.,D.C.,United States,20002,Converted,Gym,1928,1952,,,,https://cinematreasures.org/theaters/7406,
Raphael,FDYB1950,"149 9th St. NW, D.C., D.C., United States, 20001",149 9th St. NW,D.C.,D.C.,United States,20001,Demolished,,1914,1969,,,,,
Republic,FDYB1931 - FDYB1950,"1333 U St. NW, D.C., D.C., United States, 20009",1333 U St. NW,D.C.,D.C.,United States,20009,Demolished,,1921,1976,,,,,
Rosalia,FDYB1931 - FDYB1950,"218-220 F St. SW, D.C., D.C., United States, 20001",218-220 F St. SW,D.C.,D.C.,United States,20001,Demolished,,1922,1951,,,,,
Strand (Deanwood),FDYB1950,"5131 Nannie Helen Burroughs Ave NE, D.C., D.C., United States, 20019",5131 Nannie Helen Burroughs Ave NE,D.C.,D.C.,United States,20019,Converted,housing,1928,1959,,,,,
New Waller,FDYB1950,"/, Laurel, Delaware, United States, ",/,Laurel,Delaware,United States,,,,,,,,,,
Plaza,FDYB1950,"106 South Walnut St. , Milford, Delaware, United States, 19963",106 South Walnut St. ,Milford,Delaware,United States,19963,,,1922,1946,,,,,
Palace,FDYB1950,"N. Market St & High St, Seaford, Delaware, United States, 19973",N. Market St & High St,Seaford,Delaware,United States,19973,,,,,,,,,
National,FDYB1931 - FDYB1950,"810-812 N. French St. , Wilmington, Delaware, United States, 19801",810-812 N. French St. ,Wilmington,Delaware,United States,19801,Demolished,parking garage,1916,1955,,,,,
Hilltop,FDYB1950,"/, Apalachicola, Florida, United States, ",/,Apalachicola,Florida,United States,,,,,,,,,,no record found online
Washington,FDYB1931 -,"/, Apopka, Florida, United States, ",/,Apopka,Florida,United States,,,,,,,,,,no record found online
Ritz,FDYB1950,"[potentially Arcadia, FL?], Arcade, Florida, United States, ","[potentially Arcadia, FL?]",Arcade,Florida,United States,,,,,,,,,,no record found online
Avon,FDYB1950,"Avon Park, Avon Park, Florida, United States, 33825",Avon Park,Avon Park,Florida,United States,33825,,,1905,1937,,,,https://cinematreasures.org/theaters/69941,"Opened as Avalon Theater, renamed Avon Theatre in 1934"
Stringer,FDYB1931 -,"/, Avon Park, Florida, United States, ",/,Avon Park,Florida,United States,,,,,,,,,,no record found online
Harlem (Cl.),FDYB1950,"469 Third Avenue, Bartow, Florida, United States, 33830",469 Third Avenue,Bartow,Florida,United States,33830,,,,,,,,https://cinematreasures.org/theaters/26123,
Ace,FDYB1950,"236 SW 5th Street, Belle Glade, Florida, United States, 33430",236 SW 5th Street,Belle Glade,Florida,United States,33430,,,,,,,,https://cinematreasures.org/theaters/61646,"The Ace Theatre was Belle Glade’s longest running African American movie theatre. Run by the Gold-Dobrow Circuit, the Ace Theatre was in business from 1940 to at least 1975."
Golden Nugget,FDYB1950,"/, Belle Glade, Florida, United States, ",/,Belle Glade,Florida,United States,,,,,,,,,,"No address found online, mentioned on website for Ace Theatre: ""The town also had the Carver Theatre, the Golden Nugget Theatre, the Showboat Theatre and the New Frazier Theatre for African-American audiences."""
New Frazier,FDYB1950,"/, Belle Glade, Florida, United States, ",/,Belle Glade,Florida,United States,,,,,,,,,,"No address found online, mentioned on website for Ace Theatre: ""The town also had the Carver Theatre, the Golden Nugget Theatre, the Showboat Theatre and the New Frazier Theatre for African-American audiences."""
Lincoln,FDYB1950,"109 9th Avenue W, Bradenton, Florida, United States, 34205",109 9th Avenue W,Bradenton,Florida,United States,34205,,,,1964,,Ben Dixon (1960-65),,https://cinematreasures.org/theaters/58241,
Charles,FDYB1950,"/, Bunnell, Florida, United States, ",/,Bunnell,Florida,United States,,,,,,,,,,no record found online
Dixie,FDYB1950,"301 N. Garden Avenue, Clearwater, Florida, United States, 33755",301 N. Garden Avenue,Clearwater,Florida,United States,33755,,,Before or on 1926,After 1955,,,,,Operated as African American theater from 1937
Lincoln,FDYB1930,"/, Clearwater, Florida, United States, ",/,Clearwater,Florida,United States,,,,,,,,,,no record found online
Park,FDYB1950,"1104 N. Martin Luther King, Jr. Avenue, Clearwater, Florida, United States, 33755","1104 N. Martin Luther King, Jr. Avenue",Clearwater,Florida,United States,33755,,,,,,,,https://cinematreasures.org/theaters/33494,"The Park Theater, located in the historically black North Greenwood neighborhood, was Clearwater’s ""Negro theater"" in the pre-integration years. The theater was operating prior to 1949, and was closed by or during the 1970’s; integration undoubtedly contributed to the demise of this neighborhood theater."
Harlem,FDYB1950,"1007 Harlem Academy Avenue, Clewiston, Florida, United States, 33440",1007 Harlem Academy Avenue,Clewiston,Florida,United States,33440,,,,,,,,https://cinematreasures.org/theaters/54891,
Lincoln (Cl.),FDYB1950,"/, Clewiston, Florida, United States, ",/,Clewiston,Florida,United States,,,,,,,,,,no record found online
Queen,FDYB1950,"/, Clewiston, Florida, United States, ",/,Clewiston,Florida,United States,,,,,,,,,,
Magnolia,FDYB1930,"/, Cocoa, Florida, United States, ",/,Cocoa,Florida,United States,,,,,,,,,,
Princess,FDYB1930,"/, Cocoa, Florida, United States, ",/,Cocoa,Florida,United States,,,,,,,,,,
Ace,FDYB1950,"/, Coconut Grove, Florida, United States, ",/,Coconut Grove,Florida,United States,,,,,,,,,,
Grand,FDYB1930,"/, Coconut Grove, Florida, United States, ",/,Coconut Grove,Florida,United States,,,,,,,,,,
Airdome,FDYB1930,"/, Coral Gables, Florida, United States, ",/,Coral Gables,Florida,United States,,,,,,,,,,
Palace,FDYB1950,"/, Cross City, Florida, United States, ",/,Cross City,Florida,United States,,,,,,,,,,
Case (Port.),FDYB1950,"/, Dania, Florida, United States, ",/,Dania,Florida,United States,,,,,,,,,,
Midway,FDYB1930,"/, Daytona, Florida, United States, ",/,Daytona,Florida,United States,,,,,,,,,,
Ritz,FDYB1950,"577 Dr. Mary McLeod Bethune Boulevard, Daytona Beach, Florida, United States, 32114",577 Dr. Mary McLeod Bethune Boulevard,Daytona Beach,Florida,United States,32114,Demolished,Nothing,1937,,,,,,
Washington,"FDYB1927, FDYB1950","254 W. Voorhis Avenue, Deland, Florida, United States, 32720",254 W. Voorhis Avenue,Deland,Florida,United States,32720,Converted,Church,,,,,,,
Case (Port.),FDYB1950,"/, Delray Beach, Florida, United States, ",/,Delray Beach,Florida,United States,,,,,,,,,,
Egypt,FDYB1930,"Eustis, Eustis, Florida, United States, 32726",Eustis,Eustis,Florida,United States,32726,,,,,,,,,Only date is 1930
Elite,FDYB1950,"335 Main St. E, Florence Villa, Florida, United States, 33881",335 Main St. E,Florence Villa,Florida,United States,33881,,,1920,1955,,,,https://cinematreasures.org/theaters/69801,
Ritz,FDYB1950,"/, Florida City, Florida, United States, ",/,Florida City,Florida,United States,,,,,,,,,,
Case (Port.),FDYB1950,"/, Ft. Lauderdale, Florida, United States, ",/,Ft. Lauderdale,Florida,United States,,,,,,,,,,
Palace,FDYB1927 - FDYB1930,"/, Ft. Lauderdale, Florida, United States, ",/,Ft. Lauderdale,Florida,United States,,,,,,,,,,
Victory,FDYB1950,"541 NW 5th Avenue, Ft. Lauderdale, Florida, United States, 33311",541 NW 5th Avenue,Ft. Lauderdale,Florida,United States,33311,,,1945,>1959,,,,https://cinematreasures.org/theaters/24942,
Grand,"FDYB1930, FDYB1950","2107 Fowler Street, Ft. Myers, Florida, United States, 33901",2107 Fowler Street,Ft. Myers,Florida,United States,33901,Demolished,Warehouse,"January 16, 1911",,,,,,
Palace,FDYB1927 - FDYB1930,"/, Ft. Myers, Florida, United States, ",/,Ft. Myers,Florida,United States,,,,,,,,,,
Palm,FDYB1927,"/, Ft. Myers, Florida, United States, ",/,Ft. Myers,Florida,United States,,,,,,,,,,
Palm Garden,FDYB1926 -,"/, Ft. Myers, Florida, United States, ",/,Ft. Myers,Florida,United States,,,,,,,,,,
Progressive,FDYB1927,"/, Ft. Myers, Florida, United States, ",/,Ft. Myers,Florida,United States,,,,,,,,,,
Royal,FDYB1930,"/, Ft. Myers, Florida, United States, ",/,Ft. Myers,Florida,United States,,,,,,,,,,
Lincoln,FDYB1950,"1132 Avenue D, Ft. Pierce, Florida, United States, 34950",1132 Avenue D,Ft. Pierce,Florida,United States,34950,Still Standing,,1937,,,,,,Opened as Ritz Theater. Renamed Lincoln theater in 1957 and became an African American theater
Rex,FDYB1930,"\, Ft. Pierce, Florida, United States, ",\,Ft. Pierce,Florida,United States,,,,,,,,,,
Lincoln (Cl.),FDYB1950,"\, Gainesville, Florida, United States, ",\,Gainesville,Florida,United States,,,,,,,,,,
Metts,FDYB1930,"\, Gainesville, Florida, United States, ",\,Gainesville,Florida,United States,,,,,,,,,,
Perry,FDYB1950,"\, Gainesville, Florida, United States, ",\,Gainesville,Florida,United States,,,,,,,,,,
Rose,FDYB1950,"\, Gainesville, Florida, United States, ",\,Gainesville,Florida,United States,,,,,,,,,,
W. E. Lee,FDYB1950,"\, Gainesville, Florida, United States, ",\,Gainesville,Florida,United States,,,,,,,,,,
Dixie,FDYB1950,"\, Goulds, Florida, United States, ",\,Goulds,Florida,United States,,,,,,,,,,
Ben's,FDYB1950,"\, Haines City, Florida, United States, ",\,Haines City,Florida,United States,,,,,,,,,,
Imperial,FDYB1930,"\, Haines City, Florida, United States, ",\,Haines City,Florida,United States,,,,,,,,,,
